Rank,Year,Title,Artist,Spotify_ID
40,2015,Locked Away,R. CityFeaturingAdam Levine,
41,2015,Somebody,Natalie La Rose FeaturingJeremih,
42,2015,FourFiveSeconds,Rihanna&Kanye West&Paul McCartney,78TTtXnFQPzwqlbtbwqN0y
43,2015,Centuries,Fall Out Boy,04aAxqtGp5pv12UXAg4pkq
44,2015,My Way,Fetty WapFeaturing Monty,
45,2015,Take Your Time,Sam Hunt,6DEaND0SHv3sC11xobZLiy
46,2015,Animals,Maroon 5,2bL2gyO6kBdLkNSkxXNh6x
47,2015,I Don't F**k With You,Big SeanFeaturingE-40,
48,2015,B**** Better Have My Money,Rihanna,0NTMtAO2BV4tnGvw9EgBVq
49,2015,Flex (Ooh Ooh Ooh),Rich Homie Quan,4T0ScSPdQKmGvruK7pavNP
50,2015,Nasty Freestyle,T-Wayne,0PT7nlpo11hYYyfnBgtilT
51,2015,Only,"Nicki MinajFeaturingDrake,Lil Wayne&Chris Brown",
52,2015,Elastic Heart,Sia,5S9lfZu1YF8xKkgSsqL2Bd
53,2015,Cool For The Summer,Demi Lovato,3uwnnTQcHM1rDqSfA4gQNz
54,2015,Renegades,X Ambassadors,0fYVliAYKHuPmECRs1pbRf
55,2015,I Don't Mind,UsherFeaturingJuicy J,
56,2015,Love Me Harder,Ariana Grande&The Weeknd,5J4ZkQpzMUFojo1CtAZYpn
57,2015,Wildest Dreams,Taylor Swift,59HjlYCeBsxdI0fcm3zglw
58,2015,Stay With Me,Sam Smith,5Nm9ERjJZ5oyfXZTECKmRt
59,2015,You Know You Like It,DJ Snake&AlunaGeorge,57kR5SniQIbsbVoIjjOUDa
60,2015,Uma Thurman,Fall Out Boy,5PUawWFG1oIS2NwEcyHaCr
61,2015,7/11,Beyonce,02M6vucOvmRfMxTXDUwRXu
62,2015,The Heart Wants What It Wants,Selena Gomez,6wJwkMo278iWVlWl1XQ4WA
63,2015,Girl Crush,Little Big Town,11qh54D0PKkBwelpDxxiEU
64,2015,Slow Motion,Trey Songz,4NYwy0R3NdvORX2B6OZXBT
65,2015,Drag Me Down,One Direction,2K87XMYnUMqLcX3zvtAF4G
66,2015,Truffle Butter,Nicki MinajFeaturingDrake&Lil Wayne,
67,2015,One Last Time,Ariana Grande,7xoUc6faLbCqZO6fQEYprd
68,2015,Chains,Nick Jonas,5Eg4TsPcqNbIjd8ADMZosg
69,2015,All Eyes On You,Meek MillFeaturingChris Brown&Nicki Minaj,
70,2015,No Type,Rae Sremmurd,4scpF6J5uMBvoh6sFB7EL1
71,2015,Riptide,Vance Joy,2uXlHCUbq9OMUwx3hrk06o
72,2015,Classic Man,JidennaFeaturingRoman Gianarthur,
73,2015,Ex's & Oh's,Elle King,70eDxAyAraNTiD6lx2ZEnH
74,2015,Dear Future Husband,Meghan Trainor,5MEYDJVJMaGAXfddTo0D6J
75,2015,Marvin Gaye,Charlie PuthFeaturingMeghan Trainor,
76,2015,Like I'm Gonna Lose You,Meghan TrainorFeaturingJohn Legend,
77,2015,Habits (Stay High),Tove Lo,14OxJlLdcHNpgsm4DRwDOB
78,2015,The Hanging Tree,James Newton HowardFeaturing Jennifer Lawrence,
79,2015,CoCo,O.T. Genasis,2JI71GHwq2LN8mtq3iCLYo
80,2015,Bang Bang,"Jessie J,Ariana Grande&Nicki Minaj",0puf9yIluy9W0vpMEUoAnN
81,2015,Lay Me Down,Sam Smith,74sb4Gib0cL3TQeCjYF8vh
82,2015,Tuesday,I Love MakonnenFeaturingDrake,
83,2015,Hit The Quan,iLoveMemphis,4OjuzM3rTWp3q60mEldNSF
84,2015,Downtown,"Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel,Kool Moe Dee&Grandmaster Caz",5pfJsMwoRYKampPay8amX0
85,2015,House Party,Sam Hunt,1TwLKNsCnhi1HxbIi4bAW0
